Designator,Mid X,Mid Y,Rotation,Layer
+3.3,225.1,-54.3,0.0,top
+5,233.5,-62.5,180.0,top
C1,231.75,-92.0375,180.0,top
C10,241.25,-66.4,0.0,top
C11,224.1,-75.0,270.0,top
C19,247.3,-58.0,90.0,top
C2,223.25,-85.0,180.0,top
C20,247.3,-54.6,270.0,top
C22,247.6,-51.4,0.0,top
C24,233.011247,-59.563365,0.0,top
C25,245.1,-62.1,180.0,top
C26,237.395,-48.195,270.0,top
C29,202.75,-66.5,90.0,top
C3,226.4,-99.1,270.0,top
C30,203.75,-81.0,270.0,top
C31,218.7368,-77.4995,0.0,top
C35,234.9,-99.1,270.0,top
C37,218.7368,-79.7495,0.0,top
C38,196.8,-82.1125,270.0,top
C39,194.75,-82.1125,270.0,top
C4,212.7,-86.8,0.0,top
C40,192.0,-78.0,180.0,top
C41,192.0,-76.0,180.0,top
C47,234.2,-76.95,270.0,top
C48,236.2,-76.95,270.0,top
C49,239.0,-81.7,180.0,top
C5,223.1,-62.5,0.0,top
C50,239.0,-83.7,180.0,top
C51,233.45,-86.45,90.0,top
C6,223.0,-67.6,0.0,top
C8,234.7,-72.1,0.0,top
C9,253.0,-67.7,90.0,top
D1,216.875,-54.75,0.0,top
D2,213.3,-93.4,0.0,top
D3,216.875,-56.5,0.0,top
D4,230.7,-100.9,0.0,top
D7,229.6,-54.9,90.0,top
D8,229.6,-51.4725,90.0,top
J1,255.9,-83.5,90.0,top
J10,194.1,-38.39,180.0,top
J11,257.2,-45.3,0.0,top
J12,247.705,-76.5,270.0,top
J2,209.775,-42.225,90.0,top
J3,190.0,-94.0,270.0,top
J4,251.06,-41.8,90.0,top
J5,256.4,-69.58,180.0,top
J6,240.14,-43.07,90.0,top
J7,194.1,-55.6,270.0,top
J8,225.5,-38.49,180.0,top
J9,219.5,-100.7,0.0,top
JP1,218.96,-50.2,270.0,top
Q1,228.395,-66.7325,90.0,top
R1,226.75,-85.0,0.0,top
R10,214.1695,-90.901,90.0,top
R11,201.4,-84.5,270.0,top
R12,203.45,-84.5,270.0,top
R13,205.4,-84.4875,270.0,top
R14,232.1,-76.8,90.0,top
R16,231.3,-51.4875,90.0,top
R17,231.3,-54.9125,270.0,top
R18,250.4,-50.8,90.0,top
R19,241.2,-64.2,180.0,top
R2,211.0,-80.5,0.0,top
R20,247.9,-61.4,90.0,top
R21,249.9,-61.3875,90.0,top
R22,234.6,-49.6,0.0,top
R23,233.3375,-65.5,0.0,top
R24,231.895,-68.2325,90.0,top
R25,228.3,-62.8,90.0,top
R26,226.0,-62.8,90.0,top
R27,230.2,-62.8,90.0,top
R28,251.1,-45.1,180.0,top
R29,251.1,-47.7,0.0,top
R3,214.0,-81.5,90.0,top
R36,206.8,-81.0,90.0,top
R4,214.5,-70.6,270.0,top
R40,218.7368,-81.6926,0.0,top
R5,220.6625,-54.75,180.0,top
R6,220.6625,-56.86,180.0,top
R7,234.9,-102.5,270.0,top
R8,216.2,-90.9125,90.0,top
R9,212.2,-66.2,270.0,top
SW1,207.5,-100.31,270.0,top
TP1,229.25,-59.25,180.0,top
TP10,194.15,-72.0,90.0,top
TP13,237.2,-86.9,0.0,top
TP3,189.5,-68.0,90.0,top
TP5,246.1,-48.145,180.0,top
TP6,242.3,-48.5,180.0,top
TP7,194.15,-68.0,90.0,top
TP9,189.5,-72.0,90.0,top
U1,207.9,-90.4,180.0,top
U10,227.4625,-74.95,0.0,top
U2,207.0,-73.75,270.0,top
U3,227.0375,-92.0,180.0,top
U4,241.3,-72.0,270.0,top
U5,240.145,-56.395,90.0,top
U6,197.05,-77.55,180.0,top
U7,209.35,-56.175,270.0,top
U8,233.75,-81.95,0.0,top
U9,248.3,-70.2,270.0,top
Y1,218.5,-66.5,90.0,top
Y2,254.6,-56.3,270.0,top
